,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
164,Afghanistan,2014,AFG,32716214.0,64346107904.0,0.029,0.001,9.17,-0.08,-0.867,9.28,-0.19,-2.008,0.284,0.144,0.327,0.28,0.143,0.323,3.706,0.113,,,,2.186,143.811,482.767,32.351,5.956,18.337,858.548,84.981,,868.576,0.442,0.0,0.0,0.271,0.008,0.818,0.811,0.11,0.003,16.3,0.498,5.09,0.156,5.165,0.158,,,28.417,0.002,0.026,0.023,0.025,0.006,0.01,0.022,0.005,0.038,0.009,0.121,0.016,,0.0,0.004,0.002,0.044,,0.081,0.001,0.0,0.001,0.0,26.52,26.76,,
436,Africa,2014,,1170299297.0,,70.076,0.06,1350.089,81.197,6.399,2965.408,-241.316,-7.525,2.535,0.572,0.57,1.154,0.26,0.259,441.182,0.377,1322.02,1.13,0.255,1399.089,39396.391,156543.609,17582.943,2512.771,4269.585,156108.016,13631.999,,4210.886,,59.073,0.05,239.098,0.204,2.396,2.951,1615.787,1.381,1026.13,0.877,519.81,0.444,540.66,0.462,,,4927.997,4.672,3.795,7.323,2.931,4.099,2.656,7.147,2.505,16.082,2.108,21.94,2.613,,15.229,3.593,32.857,4.629,,9.211,0.055,0.068,0.132,0.009,3453.88,2804.06,-28.07,-2.079
608,Africa (GCP),2014,,,,,,1350.078,,,,,,,,,,,,,,1322.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Aland Islands,2014,ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.276,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.0,,,,,,,,,,,
952,Albania,2014,ALB,2884100.0,29675640832.0,1.045,0.362,6.0,0.712,13.469,6.696,0.859,14.712,2.322,0.226,0.197,2.08,0.202,0.176,1.029,0.357,6.514,2.259,0.22,17.368,259.652,518.806,64.693,0.012,15.752,451.551,161.827,,11809.461,1.148,0.012,0.004,0.059,0.02,3.245,2.954,0.696,0.241,3.09,1.071,1.14,0.395,3.856,1.337,,,34.06,0.07,0.017,0.017,0.007,0.051,0.018,0.024,0.009,0.0,0.008,0.063,0.031,,0.003,0.001,0.014,0.033,,0.026,0.0,0.0,0.0,0.0,8.52,9.36,0.515,8.58
1124,Algeria,2014,DZA,38760168.0,531308085248.0,7.668,0.198,151.283,10.496,7.456,153.774,9.727,6.753,3.967,0.289,0.263,3.903,0.285,0.258,0.546,0.014,,,,168.911,3675.13,4596.37,111.625,577.743,1553.315,1220.149,1263.537,,15108.635,1.102,16.353,0.422,73.831,1.905,6.54,6.525,2.492,0.064,89.3,2.304,11.72,0.302,52.885,1.364,,,585.613,0.511,0.425,0.38,0.004,0.495,0.248,0.21,0.016,3.698,0.767,0.171,0.242,,4.216,1.109,0.051,0.453,,0.404,0.004,0.002,0.006,0.0,252.91,253.51,,
1296,American Samoa,2014,ASM,52234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.476,,,27663.885,,,,,,,,0.0,,,,,,,,,,1.445,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
1568,Andorra,2014,AND,71644.0,,0.0,0.0,0.462,-0.015,-3.077,0.462,-0.015,-3.077,6.444,,,6.444,,,0.0,0.0,,,,0.0,12.208,13.015,0.0,0.0,0.0,0.806,12.208,,,,0.0,0.0,0.0,0.0,7.956,7.956,0.0,0.0,0.05,0.698,0.0,0.0,0.462,6.444,,,,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.002,,0.0,0.0,0.0,0.004,,0.001,0.0,0.0,0.0,0.0,0.57,0.57,,
1740,Angola,2014,AGO,27128340.0,170193272832.0,1.976,0.073,25.148,0.429,1.736,111.105,-13.531,-10.856,4.096,0.653,0.99,0.927,0.148,0.224,0.0,0.0,,,,17.147,493.835,5870.132,1.601,199.762,32.077,10092.231,243.248,,4135.047,0.659,5.113,0.188,0.579,0.021,3.037,4.789,85.957,3.169,40.6,1.497,23.77,0.876,17.479,0.644,,,112.177,0.132,0.071,0.274,0.0,0.05,0.033,0.268,0.0,1.278,0.016,1.418,0.047,,1.318,0.009,1.748,0.15,,0.43,0.003,0.003,0.006,0.0,129.91,82.39,,
1912,Anguilla,2014,AIA,14143.0,,0.0,0.0,0.139,0.022,18.75,0.139,0.022,18.75,9.845,,,9.845,,,0.0,0.0,,,,0.0,2.565,2.565,0.0,0.0,0.0,0.0,2.565,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.139,9.845,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,,,,
2083,Antarctica,2014,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
2255,Antigua and Barbuda,2014,ATG,89252.0,,0.0,0.0,0.462,0.0,0.0,0.462,0.0,0.0,5.173,,0.155,5.173,,0.155,0.0,0.0,,,,0.0,18.65,17.257,0.0,0.0,0.0,-8.097,18.65,,33313.0,,0.0,0.0,0.0,0.0,11.876,11.876,0.0,0.0,0.19,2.129,0.01,0.112,0.462,5.173,,,2.973,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,-0.001,0.004,,0.0,0.0,0.0,0.004,,0.001,0.0,0.0,0.0,0.0,1.06,1.06,,
2427,Argentina,2014,ARG,42824064.0,825981468672.0,4.336,0.101,188.397,-1.141,-0.602,283.477,-25.14,-8.146,6.62,0.343,0.289,4.399,0.228,0.192,5.536,0.129,185.372,4.329,0.224,171.925,7353.115,19702.518,513.75,172.077,2307.909,12934.213,4187.454,,22881.006,1.186,1.388,0.032,92.844,2.168,8.48,10.013,95.081,2.22,121.59,2.839,43.9,1.025,84.292,1.968,,,979.858,0.289,0.53,0.7,0.037,0.504,0.496,0.899,0.073,1.101,1.14,1.818,0.803,,0.358,1.395,1.933,0.722,,1.226,0.006,0.01,0.018,0.001,428.81,363.15,-3.024,-1.605
2603,Armenia,2014,ARM,2889937.0,28507138048.0,0.244,0.084,5.604,0.069,1.249,6.703,-0.114,-1.674,2.32,0.235,0.153,1.939,0.197,0.128,0.004,0.001,5.822,2.015,0.204,13.285,341.732,584.802,43.865,2.157,130.355,247.467,152.07,,15185.13,1.539,0.0,0.0,4.493,1.555,3.159,3.132,1.099,0.38,2.41,0.834,0.98,0.339,0.864,0.299,,,43.884,0.016,0.016,0.017,0.0,0.039,0.023,0.027,0.006,0.014,0.064,0.035,0.029,,0.0,0.068,0.022,0.007,,0.023,0.0,0.0,0.0,0.0,9.05,9.13,0.218,3.888
2774,Aruba,2014,ABW,103607.0,,0.0,0.0,0.872,0.011,1.277,,,,,,,8.417,,0.166,0.0,0.0,,,,0.0,70.773,,0.0,0.0,0.0,,70.773,,50628.816,,0.0,0.0,0.0,0.0,,,,,,,,,0.872,8.417,,,5.245,0.0,0.002,,0.0,0.0,0.005,,0.0,0.0,0.0,,0.014,,0.0,0.0,,0.007,,0.002,0.0,0.0,0.0,0.0,,,,
3046,Asia,2014,,4412496398.0,,1192.221,0.27,19068.562,347.57,1.857,21535.082,1187.523,5.836,4.88,0.461,0.293,4.321,0.408,0.259,10745.088,2.435,17569.047,3.982,0.376,19182.037,415535.156,660556.375,217166.031,5582.992,40503.984,289252.0,128820.109,4280.019,16676.557,,115.734,0.026,2499.506,0.566,5.357,5.438,2469.353,0.56,3749.87,0.85,1267.38,0.287,4320.56,0.979,0.044,195.456,73585.25,79.486,53.597,53.179,71.389,56.203,28.011,30.157,30.936,35.731,20.002,40.653,24.695,56.483,29.836,37.561,50.214,36.995,64.111,33.012,0.167,0.285,0.475,0.024,23992.98,23637.619,-1499.517,-7.864
