Entity,iso_code,Year,Share of total deaths in both sexes aged all ages years that are from digestive diseases,Share of total deaths in both sexes aged all ages years that are from infectious and parasitic diseases,Share of total deaths in both sexes aged all ages years that are from respiratory diseases,"Share of total deaths in both sexes aged all ages years that are from diabetes mellitus, blood and endocrine disorders",Share of total deaths in both sexes aged all ages years that are from intentional injuries,Share of total deaths in both sexes aged all ages years that are from perinatal conditions,Share of total deaths in both sexes aged all ages years that are from respiratory infections,Share of total deaths in both sexes aged all ages years that are from neuropsychiatric conditions,Share of total deaths in both sexes aged all ages years that are from malignant neoplasms,Share of total deaths in both sexes aged all ages years that are from cardiovascular diseases,Share of total deaths in both sexes aged all ages years that are from ill-defined injuries,Share of total deaths in both sexes aged all ages years that are from musculoskeletal diseases,Share of total deaths in both sexes aged all ages years that are from congenital anomalies,Share of total deaths in both sexes aged all ages years that are from maternal conditions,Share of total deaths in both sexes aged all ages years that are from nutritional deficiencies,Share of total deaths in both sexes aged all ages years that are from other neoplasms,Share of total deaths in both sexes aged all ages years that are from skin diseases,Share of total deaths in both sexes aged all ages years that are from unintentional injuries
Albania,ALB,1987,3.8843358,2.447189,2.9724114,0.8888376,0.6752857,1.5698949,12.541844,2.1297472,10.931548,36.869446,0.06926007,0,0.8542076,0.15006348,0.5713956,0.8426642,0.3578437,3.5034053
Albania,ALB,1988,3.7167835,2.0957563,3.1088982,0.9378799,0.6484108,1.7657616,10.745093,2.1768076,12.597696,38.134663,0.05789382,0,0.66577893,0.1621027,0.63683206,0.95524806,0.25473282,3.7630985
Albania,ALB,1989,3.6820958,2.9996147,2.8730254,0.89713246,0.7540316,1.37597,12.840552,2.3996918,11.321482,37.420883,0.0275194,0,0.68248117,0.18713193,0.4733337,0.9796907,0.13209313,3.8472123
Albania,ALB,1992,3.3646595,1.9085741,2.8077502,1.0442047,1.0268012,1.4560854,11.822718,2.5583014,10.436246,36.668987,0.13922729,0,0.8933751,0.05801137,0.45828983,1.0616081,0.11602274,5.012182
Albania,ALB,1993,3.551896,2.5482302,3.3475568,1.1539155,1.6647635,0.84139675,12.78322,3.8163352,9.862371,35.59709,0.3305487,0.27645892,0.8534167,0.09615962,0.6190276,1.8991526,0.2043392,5.9378567
Albania,ALB,1994,3.2634811,2.4359317,3.7373197,1.308062,1.2680192,1.0077416,9.61025,4.197811,10.337693,36.652428,0.18686599,0.38040578,0.74746394,0.08675921,0.52055526,1.8219434,0.18686599,5.4191136
Albania,ALB,1995,3.3563733,1.2454076,3.2691948,0.7908338,2.2105985,1.5256243,9.284513,3.0325675,12.995828,41.85192,0.13699482,0.17435706,0.8717853,0.05604334,0.6912012,0.54797935,0.07472445,6.320443
Albania,ALB,1996,2.8482714,1.283812,3.0990624,0.8777692,2.2332358,1.337553,7.750642,2.9557533,14.169702,43.989967,0.14928047,0.14928047,0.7523736,0.04776975,0.59115064,0.68669015,0.04776975,6.0189886
Albania,ALB,1997,2.3544679,0.9516747,2.6016562,0.8836979,9.405512,1.1803238,5.7903843,2.4842417,13.87962,41.57706,0.14213324,0.17921147,0.8280806,0.03089853,0.57471263,0.39550117,0.01853912,6.4948707
Albania,ALB,1998,2.2699685,0.8679291,2.6219957,0.7222627,5.074047,1.159262,5.183297,2.9861617,14.342073,45.15659,0.16387473,0.2306385,0.7344015,0.04855547,0.43092984,0.62515175,0.05462491,5.8509345
Albania,ALB,1999,2.2156863,0.7385621,2.490196,0.6993464,4.490196,1.7712418,4.287582,2.1503267,16.24183,45.03268,0.09150327,0.15686275,0.67320263,0.0130719,0.38562092,0.40522876,0.02614379,6.751634
Albania,ALB,2000,2.0778747,0.6093474,2.766437,0.926208,1.169947,1.4624337,4.100908,2.4617634,15.020413,47.77893,0.03046737,0.15843032,0.463104,0.04874779,0.24373896,1.2126013,0.0243739,7.4279447
