,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
3748,Australia,2000,AUS,19017968.0,691886620672.0,3.621,0.19,349.635,6.147,1.79,551.962,58.102,11.765,29.023,0.798,0.423,18.384,0.505,0.268,185.781,9.769,290.193,15.259,0.419,123.171,10650.507,21809.037,6447.391,80.648,770.059,11158.529,3197.148,32.092,68632.961,1.887,7.953,0.418,46.594,2.45,31.389,34.217,202.326,10.639,158.25,8.321,99.5,5.232,102.337,5.381,0.176,3.349,1305.259,0.502,1.374,1.806,2.019,0.669,1.018,1.295,1.227,0.753,0.631,1.737,0.874,0.794,2.851,0.985,3.955,0.993,1.549,1.704,0.007,0.01,0.019,0.002,650.73,596.96,-59.443,-17.001
3749,Australia,2001,AUS,19248146.0,713625763840.0,3.541,0.184,357.132,7.497,2.144,466.942,-85.019,-15.403,24.259,0.654,0.355,18.554,0.5,0.272,190.067,9.875,298.885,15.528,0.419,126.711,11007.64,22275.979,6637.458,88.82,819.369,11268.339,3299.73,35.551,68338.281,1.843,8.172,0.425,49.311,2.562,32.459,34.101,109.81,5.705,167.17,8.685,109.86,5.708,102.583,5.329,0.18,3.459,1315.385,0.469,1.391,1.536,2.054,0.661,1.027,1.299,1.242,0.808,0.646,1.741,0.878,0.835,2.907,1.033,2.317,0.987,1.624,1.709,0.007,0.01,0.02,0.002,656.39,624.78,-58.247,-16.31
3750,Australia,2002,AUS,19475842.0,746683498496.0,3.488,0.179,361.541,4.408,1.234,427.273,-39.669,-8.496,21.939,0.572,0.318,18.564,0.484,0.269,191.131,9.814,317.546,16.305,0.425,130.199,11369.182,22703.252,6828.588,96.828,869.943,11334.071,3404.247,39.376,68892.781,1.797,8.007,0.411,50.573,2.597,31.797,33.526,65.732,3.375,161.55,8.295,103.77,5.328,104.516,5.366,0.196,3.825,1341.745,0.438,1.376,1.358,1.975,0.652,1.035,1.3,1.255,0.858,0.661,1.737,0.881,0.88,2.682,1.031,1.27,1.006,1.773,1.708,0.007,0.01,0.02,0.003,652.95,619.28,-43.994,-12.169
3751,Australia,2003,AUS,19699004.0,773868617728.0,3.584,0.182,369.28,7.739,2.14,591.831,164.558,38.514,30.044,0.765,0.435,18.746,0.477,0.271,195.37,9.918,334.737,16.993,0.433,133.783,11738.46,23295.082,7023.959,103.986,919.644,11556.622,3513.817,43.271,69082.789,1.759,7.158,0.363,49.701,2.523,27.378,29.253,222.551,11.298,123.59,6.274,65.19,3.309,109.571,5.562,0.198,3.895,1360.862,0.421,1.335,1.777,1.857,0.643,1.043,1.309,1.266,0.898,0.672,1.756,0.885,0.922,2.391,0.978,3.937,1.026,1.767,1.701,0.007,0.01,0.02,0.003,576.25,539.31,-34.542,-9.354
3752,Australia,2004,AUS,19925060.0,809419735040.0,3.555,0.178,382.821,13.541,3.667,568.183,-23.648,-3.996,28.516,0.702,0.405,19.213,0.473,0.273,202.21,10.149,344.538,17.292,0.426,137.338,12121.281,23863.266,7226.169,110.844,972.162,11741.983,3627.583,47.186,70486.32,1.735,6.858,0.344,52.518,2.636,29.984,31.496,185.362,9.303,140.73,7.063,85.42,4.287,113.766,5.71,0.196,3.914,1404.444,0.39,1.337,1.671,1.86,0.632,1.05,1.316,1.278,0.931,0.684,1.77,0.889,0.958,2.118,0.999,3.457,1.03,1.694,1.698,0.008,0.011,0.021,0.003,627.56,597.43,-38.283,-10.0
3753,Australia,2005,AUS,20171732.0,840554577920.0,3.664,0.182,386.154,3.333,0.871,459.14,-109.042,-19.191,22.762,0.546,0.326,19.143,0.459,0.274,200.7,9.95,343.943,17.051,0.409,141.002,12507.435,24322.406,7426.868,117.758,1026.639,11814.972,3744.091,51.076,69917.164,1.678,6.914,0.343,54.477,2.701,27.78,29.271,72.987,3.618,121.4,6.018,62.57,3.102,116.508,5.776,0.193,3.891,1410.35,0.38,1.304,1.337,1.739,0.621,1.056,1.316,1.287,0.961,0.696,1.768,0.893,0.989,2.004,1.012,1.547,1.046,1.609,1.686,0.007,0.011,0.021,0.003,590.44,560.38,-42.211,-10.931
3754,Australia,2006,AUS,20467032.0,868838998016.0,3.888,0.19,392.384,6.231,1.614,418.655,-40.485,-8.818,20.455,0.482,0.285,19.172,0.452,0.267,204.385,9.986,356.321,17.41,0.41,144.89,12899.819,24741.061,7631.253,124.804,1082.45,11841.242,3861.491,54.93,71863.758,1.693,7.046,0.344,55.811,2.727,29.467,31.188,26.271,1.284,142.45,6.96,84.75,4.141,117.4,5.736,0.188,3.854,1470.838,0.37,1.283,1.174,1.677,0.61,1.062,1.314,1.295,0.991,0.708,1.759,0.897,1.014,2.031,1.013,0.518,1.044,1.526,1.679,0.008,0.011,0.021,0.003,638.32,603.11,-36.063,-9.191
3755,Australia,2007,AUS,20830832.0,913875861504.0,3.972,0.191,399.625,7.241,1.845,478.144,59.489,14.21,22.954,0.523,0.317,19.184,0.437,0.265,203.543,9.771,368.229,17.677,0.403,148.862,13299.443,25219.205,7834.796,132.309,1143.498,11919.762,3980.965,59.014,72304.695,1.648,7.504,0.36,61.049,2.931,29.114,30.625,78.52,3.769,137.7,6.61,77.96,3.743,119.474,5.735,0.196,4.083,1506.167,0.352,1.268,1.33,1.593,0.598,1.067,1.314,1.301,1.021,0.721,1.759,0.901,1.039,2.062,1.072,1.77,1.059,1.575,1.673,0.008,0.011,0.021,0.003,637.94,606.47,-31.396,-7.856
3756,Australia,2008,AUS,21247876.0,942108901376.0,3.863,0.182,404.233,4.608,1.153,668.847,190.703,39.884,31.478,0.71,0.437,19.025,0.429,0.264,204.671,9.633,363.853,17.124,0.386,152.724,13703.677,25888.053,8039.468,139.791,1205.285,12184.375,4103.293,63.115,72089.344,1.626,7.483,0.352,61.787,2.908,27.247,28.651,264.614,12.454,120.7,5.681,61.63,2.901,122.328,5.757,0.193,4.101,1531.745,0.338,1.26,1.821,1.551,0.587,1.072,1.324,1.307,1.048,0.733,1.786,0.906,1.063,2.0,1.054,5.699,1.087,1.58,1.667,0.008,0.011,0.022,0.003,608.78,578.95,-40.38,-9.989
3757,Australia,2009,AUS,21660898.0,964937515008.0,3.829,0.177,407.065,2.832,0.701,512.771,-156.076,-23.335,23.673,0.531,0.34,18.793,0.422,0.27,206.05,9.513,394.753,18.224,0.409,156.553,14110.741,26400.822,8245.519,147.757,1268.399,12290.082,4225.661,66.853,69689.844,1.564,7.966,0.368,63.114,2.914,27.404,28.915,105.706,4.88,125.88,5.811,66.88,3.088,122.367,5.649,0.173,3.739,1509.545,0.326,1.29,1.401,1.583,0.576,1.077,1.325,1.312,1.077,0.745,1.788,0.911,1.082,2.1,1.097,2.1,1.113,1.535,1.659,0.008,0.012,0.022,0.003,626.33,593.6,-12.312,-3.024
