Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Total,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
OA,Oceania,AUS,Australia,2000,All,Age_all,[All],7977.00000000,6.19409243,25.94012866,41.64800155,
OA,Oceania,AUS,Australia,2001,All,Age_all,[All],7837.00000000,6.09139029,24.55346934,40.36935617,
OA,Oceania,AUS,Australia,2002,All,Age_all,[All],8496.00000000,6.38571332,25.50488127,43.20075711,
OA,Oceania,AUS,Australia,2003,All,Age_all,[All],8155.00000000,6.18815638,23.69520235,41.03630689,
OA,Oceania,AUS,Australia,2004,All,Age_all,[All],8151.00000000,6.16034584,23.26017963,40.48626030,
OA,Oceania,AUS,Australia,2004,All,Age_all,[All],8160.00000000,6.16034584,23.26017963,40.48626030,
OA,Oceania,AUS,Australia,2006,All,Age_all,[All],8400.00000000,6.01470027,21.98742447,39.44144365,
OA,Oceania,AUS,Australia,2007,All,Age_all,[All],8824.00000000,6.40097494,22.76109865,41.87457634,
OA,Oceania,AUS,Australia,2008,All,Age_all,[All],9345.00000000,6.49201784,23.19381166,43.46806806,
OA,Oceania,AUS,Australia,2009,All,Age_all,[All],9097.00000000,6.46277352,21.94059970,41.44091383,
OA,Oceania,AUS,Australia,2010,All,Age_all,[All],9461.00000000,6.59427209,22.08432022,42.43073724,
OA,Oceania,AUS,Australia,2011,All,Age_all,[All],9909.00000000,6.74393597,22.47330036,44.35536864,
OA,Oceania,AUS,Australia,2012,All,Age_all,[All],10236.00000000,6.95862622,22.35747695,45.03645551,
OA,Oceania,AUS,Australia,2013,All,Age_all,[All],9684.00000000,6.55751026,20.96075817,41.89060919,
OA,Oceania,AUS,Australia,2014,All,Age_all,[All],10539.00000000,6.86222164,22.19264133,44.83891305,
OA,Oceania,AUS,Australia,2015,All,Age_all,[All],10897.00000000,6.85121847,22.11287944,45.75496426,
OA,Oceania,AUS,Australia,2016,All,Age_all,[All],11053.00000000,6.97332559,21.80799366,45.69072172,
OA,Oceania,AUS,Australia,2017,All,Age_all,[All],11484.00000000,7.12924393,22.11255209,46.69393217,
OA,Oceania,AUS,Australia,2018,All,Age_all,[All],11061.00000000,6.97159929,20.72998527,44.30311276,
OA,Oceania,AUS,Australia,2019,All,Age_all,[All],11790.00000000,6.97790036,21.49885058,46.52683124,
